County Name ,State,Median Age ,PerCapita Income,Percent in Poverty,Population Density,Crime Index (Per capita)
Adams,ID,36.2,15461,12.6,2.6,169
Bannock,ID,29.5,14920,12.4,61.6,548
Bear Lake,ID,30.9,12505,12.1,6.5,154
Benewah,ID,34.6,15726,13.9,10.4,247
Bingham,ID,27.6,14077,15.2,19,269
Blaine,ID,33.3,24384,6.6,5.6,530
Bonneville,ID,28.7,17733,10.6,41.3,493
Boundary,ID,32.8,13381,15.4,6.8,157
Butte,ID,33.3,13047,12.7,1.3,50
Canyon,ID,31.6,14121,17,163.6,537
Caribou,ID,30.3,15018,7.7,4,196
Cassia,ID,29.2,16686,15.6,7.9,529
Clearwater,ID,37.5,15466,12.2,3.5,107
Elmore,ID,27.7,16949,11.2,6.7,327
Franklin,ID,27.5,11497,11.8,14.3,158
Fremont,ID,28.1,13539,13.6,6.1,189
Gem,ID,36,15081,15.7,22.4,190
Gooding,ID,34.7,16416,15.2,16.6,169
Idaho,ID,36.5,14681,14,1.7,149
Jerome,ID,32.6,15610,15.1,26.3,365
Kootenai,ID,35,17642,11.5,62.1,565
